CountryCode,WHOSIS_000001,NCD_BMI_30A,MH_12,UHC_AVAILABILITY_SCORE,VIOLENCE_HOMICIDERATE,WHS3_49,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,had_polio,EG_ELC_ACCS_ZS,EN_ATM_PM25_MC_ZS,NY_GDP_PCAP_KD,SH_DYN_MORT,SH_H2O_BASW_ZS,SP_RUR_TOTL_ZS,poor,rich
OMN,72.52431,26.3,4.7,70.83333,0.71395,0.0,28.8,0,100.0,100.0,18777.4330589162,11.2,90.23848564,18.65,0.0,0.0
PAK,64.18282,8.2,9.96,77.77778,6.45795,56.0,42.0,1,71.3815460205078,100.0,1282.44315294243,76.0,89.45498234,63.974,1.0,0.0
PLW,,54.8,,50.69444,,,27.7,0,99.3692398071289,,15761.3633809149,19.8,99.63015085,21.841,0.0,0.0
PAN,78.71516,22.2,2.95,68.75,17.25449,0.0,21.3,0,92.2947692871094,87.2894289287745,13669.5594424097,17.0,92.90436561,33.304,0.0,0.0
PNG,64.48792,20.7,3.65,83.33333,10.81859,0.0,33.6,0,42.8782196044922,99.9999999999861,2502.08429055221,51.0,41.48550844,86.988,1.0,0.0
PRY,75.56395,19.8,5.85,72.22222,10.4874,0.0,22.4,0,99.3315353393555,100.0,5861.40189546648,22.3,96.83621453,39.25,0.0,0.0
PER,79.07546,19.3,2.77,88.88889,8.6253,0.0,20.1,0,93.852180480957,99.9733888894223,6180.1949572907,15.7,90.28200304,22.643,0.0,0.0
PHL,70.29715,6.2,2.71,91.66667,15.32234,0.0,14.5,0,89.0800018310547,99.4330928712387,2974.29953130009,29.6,92.01770102,53.716,1.0,0.0
POL,77.2867,22.7,13.1516,70.83333,0.96157,0.0,18.2,0,100.0,99.9962149714443,12560.051419682,4.9,99.23206988,39.722,0.0,0.0
PRT,80.88557,20.4,8.31,72.91667,1.21335,0.0,12.4,0,100.0,27.458494054092,19250.1065376852,3.6,99.90468984,36.486,0.0,0.0
QAT,76.40804,34.5,4.85,45.13889,0.56426,0.0,27.2,0,100.0,100.0,66984.9102002396,7.8,99.69150138,1.05500000000001,0.0,1.0
ROU,74.82143,22.1,9.06,72.91667,1.55728,0.0,22.0,0,100.0,99.3790947507232,8976.88053477541,9.2,100.0,46.113,0.0,0.0
RUS,71.29893,22.8,27.8682,70.83333,11.48061,0.0,20.1,0,95.5,91.8274018970421,9313.013671875,8.2,96.52715543,25.95,0.0,0.0
RWA,67.68883,5.6,9.89,83.33333,4.6666,0.0,17.8,0,22.7999992370605,100.0,733.441121804147,47.7,57.12177402,82.996,1.0,0.0
KNA,,22.3,,36.80556,,,14.9,0,100.0,,20025.9623507165,16.9,98.61185413,69.173,0.0,0.0
LCA,75.00793,19.1,7.89,45.13889,18.53768,,13.7,0,97.0327377319336,100.0,10290.3789108118,21.9,95.56809428,81.485,0.0,0.0
VCT,72.46788,23.1,3.31,36.80556,26.25397,,16.9,0,99.6432723999023,100.0,7386.73759501693,16.7,95.1452199,49.036,0.0,0.0
WSM,70.03727,46.7,14.9413,54.86111,3.31774,,25.1,0,99.0670852661133,99.9999999994243,4048.51387550813,18.6,91.32139736,81.086,1.0,0.0
STP,69.60426,12.0,2.18,68.75,6.89083,0.0,45.0,0,67.2492980957031,100.0,1571.4985399244,23.1,77.12422979,29.826,1.0,0.0
SAU,73.15216,34.7,5.95,62.5,1.90783,0.0,26.0,0,100.0,100.0,19977.7946924217,9.1,99.54802638,16.82,0.0,0.0
SEN,67.20235,8.5,11.8126,83.33333,8.19544,0.0,54.5,0,60.5,100.0,1238.12639559545,49.4,78.60209362,54.138,1.0,0.0
SRB,75.20887,21.1,11.6904,77.08333,1.56449,0.0,22.0,0,99.9000015258789,100.0,5588.98072768556,6.3,93.3864573,44.304,0.0,0.0
